time,01JP301D01,01JP301D05
2022-04-18 00:47:42+00:00,,0.0
2022-04-18 00:48:02+00:00,0.0,
2022-04-18 00:48:11+00:00,,0.0
2022-04-18 00:48:40+00:00,,0.0
2022-04-18 00:49:01+00:00,0.0,
2022-04-18 00:49:09+00:00,,0.0
2022-04-18 00:49:38+00:00,,0.0
2022-04-18 00:50:00+00:00,0.0,
2022-04-18 00:50:07+00:00,,0.0
2022-04-18 00:50:36+00:00,,0.0
2022-04-18 00:50:59+00:00,0.0,
2022-04-18 00:51:05+00:00,,0.0
2022-04-18 00:51:34+00:00,,0.0
2022-04-18 00:51:58+00:00,0.0,
2022-04-18 00:52:03+00:00,,0.0
2022-04-18 00:52:32+00:00,,0.0
2022-04-18 00:52:57+00:00,0.0,
2022-04-18 00:53:01+00:00,,0.0
2022-04-18 00:53:30+00:00,,0.0
2022-04-18 00:53:56+00:00,0.0,
2022-04-18 00:53:59+00:00,,0.0
2022-04-18 00:54:28+00:00,,0.0
2022-04-18 00:54:55+00:00,0.0,
2022-04-18 00:54:57+00:00,,0.0
2022-04-18 00:55:26+00:00,,0.0
2022-04-18 00:55:54+00:00,0.0,
2022-04-18 00:55:55+00:00,,0.0
2022-04-18 00:56:24+00:00,,0.0
2022-04-18 00:56:53+00:00,0.0,0.0
2022-04-18 00:57:22+00:00,,0.0
2022-04-18 00:57:51+00:00,,0.0
2022-04-18 00:57:52+00:00,0.0,
2022-04-18 00:58:20+00:00,,0.0
2022-04-18 00:58:49+00:00,,0.0
2022-04-18 00:58:51+00:00,0.0,
2022-04-18 00:59:18+00:00,,0.0
2022-04-18 00:59:48+00:00,,0.0
2022-04-18 00:59:50+00:00,0.0,
2022-04-18 01:00:17+00:00,,0.0
2022-04-18 01:00:46+00:00,,0.0
2022-04-18 01:00:49+00:00,0.0,
2022-04-18 01:01:15+00:00,,0.0
2022-04-18 01:01:44+00:00,,0.0
2022-04-18 01:01:48+00:00,0.0,
2022-04-18 01:02:13+00:00,,0.0
2022-04-18 01:02:42+00:00,,0.0
2022-04-18 01:02:47+00:00,0.0,
2022-04-18 01:03:11+00:00,,0.0
2022-04-18 01:03:40+00:00,,0.0
2022-04-18 01:03:46+00:00,0.0,
2022-04-18 01:04:09+00:00,,0.0
2022-04-18 01:04:38+00:00,,0.0
2022-04-18 01:04:45+00:00,0.0,
2022-04-18 01:05:07+00:00,,0.0
2022-04-18 01:05:36+00:00,,0.0
2022-04-18 01:05:44+00:00,0.0,
2022-04-18 01:06:05+00:00,,0.0
2022-04-18 01:06:34+00:00,,0.0
2022-04-18 01:06:43+00:00,0.0,
2022-04-18 01:07:03+00:00,,0.0
2022-04-18 01:07:32+00:00,,0.0
2022-04-18 01:07:42+00:00,0.0,
2022-04-18 01:08:01+00:00,,0.0
2022-04-18 01:08:30+00:00,,0.0
2022-04-18 01:08:41+00:00,0.0,
2022-04-18 01:08:59+00:00,,0.0
2022-04-18 01:09:28+00:00,,0.0
2022-04-18 01:09:40+00:00,0.0,
2022-04-18 01:09:57+00:00,,0.0
2022-04-18 01:10:26+00:00,,0.0
2022-04-18 01:10:39+00:00,0.0,
2022-04-18 01:10:55+00:00,,0.0
2022-04-18 01:11:24+00:00,,0.0
2022-04-18 01:11:38+00:00,0.0,
2022-04-18 01:11:53+00:00,,0.0
2022-04-18 01:12:22+00:00,,0.0
2022-04-18 01:12:37+00:00,0.0,
2022-04-18 01:12:51+00:00,,0.0
2022-04-18 01:13:20+00:00,,0.0
